segment_id,drifter_id,start_time_utc,end_time_utc,month_key,recipe,validity_flag,status_flag,hard_fail,hard_fail_reason,invalidity_reason,ncs_score,actual_current_reader,actual_wind_reader,actual_wave_reader,wave_loading_status,current_fallback_used,wind_fallback_used,wave_fallback_used,recipe_family,is_gfs_recipe
300234063253730_20170705T120000Z_20170708T120000Z,300234063253730,2017-07-05T12:00:00+00:00,2017-07-08T12:00:00+00:00,201707,hycom_gfs,valid,valid,False,,,5.068923052864367,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063253730_20170729T060000Z_20170801T060000Z,300234063253730,2017-07-29T06:00:00+00:00,2017-08-01T06:00:00+00:00,201707,cmems_era5,valid,valid,False,,,7.688736363437119,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063253730_20170729T060000Z_20170801T060000Z,300234063253730,2017-07-29T06:00:00+00:00,2017-08-01T06:00:00+00:00,201707,cmems_gfs,valid,valid,False,,,7.627406835405683,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063253730_20170729T060000Z_20170801T060000Z,300234063253730,2017-07-29T06:00:00+00:00,2017-08-01T06:00:00+00:00,201707,hycom_era5,valid,valid,False,,,7.24226289198375,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063253730_20170729T060000Z_20170801T060000Z,300234063253730,2017-07-29T06:00:00+00:00,2017-08-01T06:00:00+00:00,201707,hycom_gfs,valid,valid,False,,,7.18482425747528,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063257280_20180417T120000Z_20180420T120000Z,300234063257280,2018-04-17T12:00:00+00:00,2018-04-20T12:00:00+00:00,201804,cmems_era5,valid,valid,False,,,6.178494067603231,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063257280_20180417T120000Z_20180420T120000Z,300234063257280,2018-04-17T12:00:00+00:00,2018-04-20T12:00:00+00:00,201804,cmems_gfs,valid,valid,False,,,6.2163612353384465,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063257280_20180417T120000Z_20180420T120000Z,300234063257280,2018-04-17T12:00:00+00:00,2018-04-20T12:00:00+00:00,201804,hycom_era5,valid,valid,False,,,4.410203520683038,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063257280_20180417T120000Z_20180420T120000Z,300234063257280,2018-04-17T12:00:00+00:00,2018-04-20T12:00:00+00:00,201804,hycom_gfs,valid,valid,False,,,4.453235271715105,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063257280_20180420T180000Z_20180423T180000Z,300234063257280,2018-04-20T18:00:00+00:00,2018-04-23T18:00:00+00:00,201804,cmems_era5,valid,valid,False,,,5.904660825531323,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063257280_20180420T180000Z_20180423T180000Z,300234063257280,2018-04-20T18:00:00+00:00,2018-04-23T18:00:00+00:00,201804,cmems_gfs,valid,valid,False,,,5.880358676991869,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063257280_20180420T180000Z_20180423T180000Z,300234063257280,2018-04-20T18:00:00+00:00,2018-04-23T18:00:00+00:00,201804,hycom_era5,valid,valid,False,,,5.619222610514258,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063257280_20180420T180000Z_20180423T180000Z,300234063257280,2018-04-20T18:00:00+00:00,2018-04-23T18:00:00+00:00,201804,hycom_gfs,valid,valid,False,,,5.587653337215908,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063258180_20180922T000000Z_20180925T000000Z,300234063258180,2018-09-22T00:00:00+00:00,2018-09-25T00:00:00+00:00,201809,cmems_era5,valid,valid,False,,,3.5568660344979888,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063258180_20180922T000000Z_20180925T000000Z,300234063258180,2018-09-22T00:00:00+00:00,2018-09-25T00:00:00+00:00,201809,cmems_gfs,valid,valid,False,,,3.5700631547441213,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063258180_20180922T000000Z_20180925T000000Z,300234063258180,2018-09-22T00:00:00+00:00,2018-09-25T00:00:00+00:00,201809,hycom_era5,valid,valid,False,,,4.547918442624915,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063258180_20180922T000000Z_20180925T000000Z,300234063258180,2018-09-22T00:00:00+00:00,2018-09-25T00:00:00+00:00,201809,hycom_gfs,valid,valid,False,,,4.560819895162479,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063258180_20180925T060000Z_20180928T060000Z,300234063258180,2018-09-25T06:00:00+00:00,2018-09-28T06:00:00+00:00,201809,cmems_era5,valid,valid,False,,,4.19504241095861,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063258180_20180925T060000Z_20180928T060000Z,300234063258180,2018-09-25T06:00:00+00:00,2018-09-28T06:00:00+00:00,201809,cmems_gfs,valid,valid,False,,,4.146892920766408,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063258180_20180925T060000Z_20180928T060000Z,300234063258180,2018-09-25T06:00:00+00:00,2018-09-28T06:00:00+00:00,201809,hycom_era5,valid,valid,False,,,5.421337811783004,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063258180_20180925T060000Z_20180928T060000Z,300234063258180,2018-09-25T06:00:00+00:00,2018-09-28T06:00:00+00:00,201809,hycom_gfs,valid,valid,False,,,5.378221215643296,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063258180_20180928T120000Z_20181001T120000Z,300234063258180,2018-09-28T12:00:00+00:00,2018-10-01T12:00:00+00:00,201809,cmems_era5,valid,valid,False,,,4.275333446844316,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063258180_20180928T120000Z_20181001T120000Z,300234063258180,2018-09-28T12:00:00+00:00,2018-10-01T12:00:00+00:00,201809,cmems_gfs,valid,valid,False,,,4.235858041510688,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063258180_20180928T120000Z_20181001T120000Z,300234063258180,2018-09-28T12:00:00+00:00,2018-10-01T12:00:00+00:00,201809,hycom_era5,valid,valid,False,,,5.6051990344541744,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
